price,description,charge_type,DateUpdated
44.52,ABACAVIR 20 MG/ML ORAL SOLUTION,standard,2020-03-25
38.05,ABACAVIR 20 MG/ML ORAL SOLUTION,standard,2020-03-25
45.16,ABACAVIR 300 MG TABLET,standard,2020-03-25
42.80,ABACAVIR 300 MG TABLET,standard,2020-03-25
41.88,ABACAVIR 300 MG TABLET,standard,2020-03-25
41.61,ABACAVIR 300 MG TABLET,standard,2020-03-25
38.97,ABACAVIR 300 MG TABLET,standard,2020-03-25
12.13,ABACAVIR 300 MG TABLET,standard,2020-03-25
208.83,ABACAVIR 600 MG-LAMIVUDINE 300 MG TABLET,standard,2020-03-25
180.42,ABACAVIR 600 MG-LAMIVUDINE 300 MG TABLET,standard,2020-03-25
48.81,ABACAVIR 600 MG-LAMIVUDINE 300 MG TABLET,standard,2020-03-25
6538.67,ABCIXIMAB 10 MG/5 ML INTRAVENOUS SOLUTION,standard,2020-03-25
236.44,ABUTMENT 3MM HT 3.5 REG EMERGENCE LSR LCK HL [PYHRA3],standard,2020-03-25
196.91,ABUTMENT 3MM HT 3.5 REG EMERGENCE LSR LCK HL [PYRHA3],standard,2020-03-25
196.91,ABUTMENT 3MM HT 4.5 REG EMERGENCE LSR LCK HL [PGRHA3],standard,2020-03-25
1073.79,ABUTMENT 4.6X12MM 4.5 PLAT RBT,standard,2020-03-25
1073.79,ABUTMENT 5.8X10.5MM 5.7 PLAT RBT,standard,2020-03-25
196.91,ABUTMENT 5MM HT 3.5 REG EMERGENCE LSR LCK HL [PYRHA5],standard,2020-03-25
196.91,ABUTMENT 5MM HT 4.5 REG EMERGENCE LSR LCK HL [PGRHA5],standard,2020-03-25
196.91,ABUTMENT 5MM HT 5.7 REG EMERGENCE LSR LCK HL,standard,2020-03-25
10379.00,ABUTMENT 8MM BA400 ,standard,2020-03-25
291.00,ABUTMENT AQUA HEALING 5.5X6MM ,standard,2020-03-25
291.00,ABUTMENT ASTRA HEALING 3.0  [25017],standard,2020-03-25
291.00,ABUTMENT HEALING 4.0 2MM ,standard,2020-03-25
291.00,ABUTMENT HEALING 4.0 4MM ,standard,2020-03-25
291.00,ABUTMENT HEALING 4.5 4MM  [24575],standard,2020-03-25
291.00,ABUTMENT HEALING 4.5/5.0 4MM UNI,standard,2020-03-25
291.00,ABUTMENT HEALING 4.5/5.0 6MM UNI,standard,2020-03-25
291.00,ABUTMENT HEALING 6.5 2MM ,standard,2020-03-25
291.00,ABUTMENT HEALING 6.5 4MM ,standard,2020-03-25
291.00,ABUTMENT HEALING 6.5 6MM ,standard,2020-03-25
305.55,ABUTMENT HL EV 3.0X2 UNI  [25574],standard,2020-03-25
305.55,ABUTMENT HL EV 3.0X3 UNI  [25575],standard,2020-03-25
305.55,ABUTMENT HL EV 3.0X3.5MM  [25298],standard,2020-03-25
305.55,ABUTMENT HL EV 3.0X4 UNI  [25576],standard,2020-03-25
305.55,ABUTMENT HL EV 3.0X4.5MM  [25297],standard,2020-03-25
305.55,ABUTMENT HL EV 3.0X6 UNI  [25577],standard,2020-03-25
305.55,ABUTMENT HL EV 3.0X6.5MM  [25795],standard,2020-03-25
305.55,ABUTMENT HL EV 3.6X2 UNI  [25285],standard,2020-03-25
305.55,ABUTMENT HL EV 3.6X3 UNI  [25578],standard,2020-03-25
305.55,ABUTMENT HL EV 3.6X3.5/5MM  [25301],standard,2020-03-25
305.55,ABUTMENT HL EV 3.6X3.5MM  [25300],standard,2020-03-25
305.55,ABUTMENT HL EV 3.6X4 UNI  [25286],standard,2020-03-25
305.55,ABUTMENT HL EV 3.6X4.5MM  [25299],standard,2020-03-25
305.55,ABUTMENT HL EV 3.6X6 UNI  [25287],standard,2020-03-25
305.55,ABUTMENT HL EV 3.6X6.5MM  [25796],standard,2020-03-25
305.55,ABUTMENT HL EV 4.2X2 UNI  [25288],standard,2020-03-25
305.55,ABUTMENT HL EV 4.2X3 UNI  [25579],standard,2020-03-25
305.55,ABUTMENT HL EV 4.2X3.5/5MM  [25303],standard,2020-03-25
305.55,ABUTMENT HL EV 4.2X3.5/6.5MM  [25304],standard,2020-03-25
305.55,ABUTMENT HL EV 4.2X3.5MM  [25501],standard,2020-03-25
305.55,ABUTMENT HL EV 4.2X4 UNI  [25289],standard,2020-03-25
305.55,ABUTMENT HL EV 4.2X4.5MM  [25302],standard,2020-03-25
305.55,ABUTMENT HL EV 4.2X6 UNI  [25290],standard,2020-03-25
305.55,ABUTMENT HL EV 4.2X6.5MM  [25797],standard,2020-03-25
305.55,ABUTMENT HL EV 4.8X2 UNI  [25291],standard,2020-03-25
305.55,ABUTMENT HL EV 4.8X3 UNI  [25580],standard,2020-03-25
305.55,ABUTMENT HL EV 4.8X3.5/5MM  [25305],standard,2020-03-25
305.55,ABUTMENT HL EV 4.8X3.5/6.5MM  [25307],standard,2020-03-25
305.55,ABUTMENT HL EV 4.8X3.5MM  [25502],standard,2020-03-25
305.55,ABUTMENT HL EV 4.8X4 UNI  [25292],standard,2020-03-25
305.55,ABUTMENT HL EV 4.8X4.5MM  [25306],standard,2020-03-25
305.55,ABUTMENT HL EV 4.8X6 UNI  [25293],standard,2020-03-25
305.55,ABUTMENT HL EV 4.8X6.5MM  [25798],standard,2020-03-25
305.55,ABUTMENT HL EV 5.4X2 UNI  [25294],standard,2020-03-25
305.55,ABUTMENT HL EV 5.4X3 UNI  [25581],standard,2020-03-25
305.55,ABUTMENT HL EV 5.4X3.5MM  [25309],standard,2020-03-25
305.55,ABUTMENT HL EV 5.4X4 UNI  [25295],standard,2020-03-25
305.55,ABUTMENT HL EV 5.4X4.5MM  [25308],standard,2020-03-25
305.55,ABUTMENT HL EV 5.4X6 UNI  [25296],standard,2020-03-25
305.55,ABUTMENT HL EV 5.4X6.5MM  [25799],standard,2020-03-25
196.91,ABUTMENT INTNL 5.7 3MM HGT REG EMERGENCE HL [PBRHA3],standard,2020-03-25
10379.00,ABUTMENT LOCK 12MM  [93336],standard,2020-03-25
727.50,ACCESSORY KIT-ANCHOR  [3550-39],standard,2020-03-25
266.75,ACCESSORY NDL 6 IN ,standard,2020-03-25
5335.00,ACETABULAR CUP SZ 50MM  [121732050],standard,2020-03-25
5335.00,ACETABULAR CUP SZ 54MM  [1217-32-054],standard,2020-03-25
137.13,"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION",standard,2020-03-25
1.49,ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,standard,2020-03-25
5.99,ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML (5 ML) ORAL SOLUTION,standard,2020-03-25
0.50,ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML ORAL SOLUTION,standard,2020-03-25
7.86,ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SOLUTION,standard,2020-03-25
0.50,ACETAMINOPHEN 160 MG/5 ML ORAL LIQUID,standard,2020-03-25
14.55,ACETAMINOPHEN 160 MG/5 ML ORAL SUSP,standard,2020-03-25
10.96,ACETAMINOPHEN 160 MG/5 ML ORAL SUSP,standard,2020-03-25
10.91,ACETAMINOPHEN 160 MG/5 ML ORAL SUSP,standard,2020-03-25
9.70,ACETAMINOPHEN 160 MG/5 ML ORAL SUSP,standard,2020-03-25
