price,description,charge_type,DateUpdated
641,"17 HYDROXYPROGESTER, SER",standard,2020-03-23
118,24 HR URINE CHLORIDE,standard,2020-03-23
289,24 HR URINE COPPER,standard,2020-03-23
657,24 HR. URINE/CITRIC ACID,standard,2020-03-23
"5,000",3-D TUMOR LOCAL,standard,2020-03-23
906,3D W/INTERP&POSTPROC-SAME WRKST,standard,2020-03-23
"1,768",3D W/INTRP&POSTPROC-REQ.DIFF.WKST,standard,2020-03-23
19,"A-AUGMENTIN SUSP, 600MG/5ML",standard,2020-03-23
4,"ABACAVIR SOLN, 20 MG/ML (240ML",standard,2020-03-23
57,"ABACAVIR TAB, 300MG",standard,2020-03-23
171,ABACAVIR/LAMIVUDINE/ZIDOVUDINE,standard,2020-03-23
266,"ABATACEPT, PER 10 MG, INJ (250MG)",standard,2020-03-23
"8,332","ABCIXIMAB INJ, 10MG/5ML",standard,2020-03-23
"2,758",ABD PARACENTESIS W/IMAGING,standard,2020-03-23
"1,581",ABD PARACENTESIS W/O IMAGING GUID,standard,2020-03-23
833,ABD.ACUTE(SUP/ER-DECUB)W/1V CHEST,standard,2020-03-23
"2,126",ABDOMEN RETROPERT COM,standard,2020-03-23
"1,457",ABDOMEN RETROPERT LTD,standard,2020-03-23
490,ABDOMEN XRAY 1 VIEW,standard,2020-03-23
612,ABDOMEN XRAY 2 VIEWS,standard,2020-03-23
719,ABDOMEN XRAY 3 OR MORE VIEWS,standard,2020-03-23
"2,125","ABDOMEN,COMPLETE",standard,2020-03-23
"1,689","ABDOMEN,LIMITED",standard,2020-03-23
609,ABDOMEN-2 VIEWS,standard,2020-03-23
616,ABDOMEN-SINGLE AP,standard,2020-03-23
"4,949",ABDOMINAL AORTOGRAPHY/RADIOL S&I,standard,2020-03-23
338,ABG ARTERIAL BLOOD GAS,standard,2020-03-23
"2,773",ABLAT.PROBE HIPVAC 50IFS 72290004,standard,2020-03-23
"13,801",ABLATE ARRHYTHMIA ADD ON-8246,standard,2020-03-23
"7,425",ABLATION PROBE-CERTUS-LK/LN/PR/SR,standard,2020-03-23
"8,035","ABLATION, AVN",standard,2020-03-23
"7,996","ABSORBABLE GELATIN FILM, (10X12.5",standard,2020-03-23
265,A-C JOINTS BILAT,standard,2020-03-23
473,ACCOLADE C DISTAL SPACER 10596715,standard,2020-03-23
"32,926",ACCULIF CAGE 6-9X11X34 305006,standard,2020-03-23
"19,395",ACET REV SHELL 64MM 00700006420,standard,2020-03-23
"2,831",ACET REV SYS CAGE RT 00713506254,standard,2020-03-23
"10,695",ACET REV SYSTCROSSLINK00710506236,standard,2020-03-23
3,ACETAMINOPHEN 120MG SUPP,standard,2020-03-23
4,ACETAMINOPHEN 325MG SUPP,standard,2020-03-23
0,ACETAMINOPHEN 325MG TAB,standard,2020-03-23
20,ACETAMINOPHEN 325MG/10ML ELIX,standard,2020-03-23
0,ACETAMINOPHEN 500MG TAB,standard,2020-03-23
3,ACETAMINOPHEN 650MG SUPP,standard,2020-03-23
0,ACETAMINOPHEN 80MG CHEW TAB,standard,2020-03-23
374,ACETAMINOPHEN ASSAY,standard,2020-03-23
14,ACETAMINOPHEN ELIX 640MG/20ML,standard,2020-03-23
5,ACETAMINOPHEN SUPP 80MG,standard,2020-03-23
164,"ACETAMINOPHEN SUPP, 650MG",standard,2020-03-23
9,"ACETAMINOPHEN SUSP, 160MG/5ML",standard,2020-03-23
2,"ACETAMINOPHEN,@ 10MG,INJ (1000MG)",standard,2020-03-23
24,ACETAZOLAMIDE 500MG CAP SEQUEL,standard,2020-03-23
282,ACETAZOLAMIDE SOD@ 500MG INJ(500),standard,2020-03-23
24,"ACETAZOLAMIDE TAB, 250MG",standard,2020-03-23
28,"ACETIC ACID IRRIG.SOL,0.25%-500ML",standard,2020-03-23
227,ACETIC ACID OTIC SOLN 15ML,standard,2020-03-23
582,"ACETYCHOLINE INTRAOCULAR, 1%",standard,2020-03-23
853,ACETYLCHOLINE RECEPTOR AB,standard,2020-03-23
83,"ACETYLCYSTEINE SOLN, 20% (10ML)",standard,2020-03-23
85,"ACETYLCYSTEINE SOLN, 20% (4ML)",standard,2020-03-23
65,"ACETYLCYSTEINE SOLN,10%(30ML)",standard,2020-03-23
21,"ACETYLCYSTEINE,@100MG,INJ(6000MG)",standard,2020-03-23
24,ACETYLCYSTINE SOL 20% D5W 100ML,standard,2020-03-23
180,ACID PHOS (PROSTATIC),standard,2020-03-23
"1,019",ACL GRAFT KNIFE 10MM 232110,standard,2020-03-23
"1,019",ACL GRAFT KNIVE 9MM 232109,standard,2020-03-23
905,ACTH,standard,2020-03-23
170,ACTIVATED CLOTTING TIME,standard,2020-03-23
327,ACTIVATED PROTEIN C RESIS,standard,2020-03-23
735,ACTIVE WOUND CARE > 20 CM,standard,2020-03-23
"1,248",ACTIVE WOUND CARE/20 CM OR <,standard,2020-03-23
780,ACULAR OPHTH SOLN 0.5%,standard,2020-03-23
50,ACUPUNCTURE-W/O STIM-1ST 15 MIN,standard,2020-03-23
"1,114",ACUTE HEPATITIS PANEL,standard,2020-03-23
1,ACYCLOVIR @ 5MG INJ (500MG/10ML),standard,2020-03-23
1,ACYCLOVIR @ 5MG INJ(1000MG/20ML),standard,2020-03-23
0,ACYCLOVIR @ 5MG INJ(50MG-PED SYR),standard,2020-03-23
1,ACYCLOVIR @ 5MG INJ(5MG-NICU SYR),standard,2020-03-23
"4,519",ACYCLOVIR 5% OINT 15GM,standard,2020-03-23
7,"ACYCLOVIR CAP, 200MG",standard,2020-03-23
"4,557","ACYCLOVIR CRM 5%, (5 GM)",standard,2020-03-23
27,ACYCLOVIR SUSP 200MG/5ML,standard,2020-03-23
21,"ACYCLOVIR TAB, 800MG",standard,2020-03-23
"6,418",ADAPER OFFSET TRIATH 2MM 55705020,standard,2020-03-23
"27,404",ADAPT STEM OSS 1CM 150494,standard,2020-03-23
"8,976",ADAPT TRAY HUMER EQUINOXE 3201000,standard,2020-03-23
"1,458",ADAPTER APEX PIN HOFFMAN 49331020,standard,2020-03-23
"6,418",ADAPTER OFFSET 4MM,standard,2020-03-23
"2,045",ADAPTER SMR STD+4 133015274,standard,2020-03-23
"1,432",ADAPTER STAGE1 HIP NECK 431186,standard,2020-03-23
163,ADAPTER TUOHY BORST G18813,standard,2020-03-23
"8,554",ADAPTOR FEMORAL 5,standard,2020-03-23
"1,148",ADAPTOR TAPER HUM HEAD 118001,standard,2020-03-23
6,"ADENOSINE,PER 1 MG, INJ (12MG)",standard,2020-03-23
10,"ADENOSINE,PER 1 MG, INJ (60 MG)",standard,2020-03-23
7,"ADENOSINE,PER 1 MG, INJ (6MG)",standard,2020-03-23
